,Temp,TGA,DrTGA,vel_cal
12367,417.328568,11.057232,-0.000214,10
12368,611.149628,6.496809,-0.001583,5
12369,978.248352,3.895246,-0.000301,5
12370,1114.710632,3.281771,-0.000561,5
12371,654.200195,5.895255,-0.000621,5
12372,910.477783,4.15948,-0.00075,5
12373,1039.593384,3.990302,-0.000418,10
12374,643.9281920000001,6.379765,-0.002548,10
12375,1047.4201050000001,3.642101,-0.000219,5
12376,545.1628109999999,9.281313,-0.005801,10
12377,1062.044678,3.940818,-0.00073,15
12378,959.033203,4.173709,-0.00092,15
12379,518.554321,10.088333,-0.003357,10
12380,309.89209,11.238586,-0.000974,5
12381,702.390594,5.358948,-0.001212,5
12382,715.547577,5.231524,-0.000902,5
12383,872.159241,4.529712,-0.001121,15
12384,936.411255,4.296432,-0.001117,10
12385,712.087158,5.572978,-0.001638,10
12386,739.496185,4.987376,-0.00103,5
12387,716.13678,5.472677,-0.002781,15
12388,621.648254,6.323349,-0.001301,5
12389,668.560669,5.727795,-0.000782,5
12390,965.458923,3.939398,0.000192,5
12391,529.207855,9.210434,-0.003612,5
12392,319.63831700000003,11.222248,7e-05,5
12393,959.894775,3.958714,-0.000593,5
12394,839.134155,4.62617,-0.000982,15
12395,425.66540499999996,10.94462,-0.000666,15
12396,508.650192,10.291654,-0.002657,10
12397,558.754578,8.950589,-0.008373,15
12398,796.202942,4.637587,-0.000781,5
12399,1033.564941,3.703981,-0.00063,5
12400,335.104919,11.41036,-0.000305,15
12401,582.297241,7.181357,-0.002512,5
12402,738.71106,5.294394,-0.001677,10
12403,724.68988,5.440194,-0.001357,10
12404,940.843933,4.270938,-0.000938,10
12405,931.208801,4.329873,-0.001028,10
12406,640.515167,6.065506,-0.00066,5
12407,719.836884,5.490725,-0.001338,10
12408,994.078552,4.109759,-0.000779,10
12409,347.105598,11.455176,-0.000836,10
12410,826.505127,4.74779,-0.000878,10
12411,1157.53418,2.997993,-0.0006,5
12412,807.953247,4.586541,-0.001042,5
12413,945.324524,4.235791,-0.001683,15
12414,508.056808,10.304189,-0.004331,15
12415,306.974754,11.243814,0.000186,5
12416,1026.6491700000001,4.028223,-0.000476,10
12417,616.252716,6.813083,-0.003459,10
12418,599.2134699999999,7.2086,-0.00441,10
12419,311.042618,11.555998,-0.000317,10
12420,881.679871,4.324523,-0.000329,5
12421,409.84317,11.087689,-0.000565,10
12422,1046.2535400000002,3.641601,-0.000591,5
12423,551.55014,9.178302,-0.007996,15
12424,1062.689087,3.568643,-0.000401,5
12425,601.8655699999999,6.666762,-0.001601,5
12426,858.189026,4.401982,-0.00044,5
12427,1085.538818,3.833103,-0.000236,10
12428,1040.533203,3.671724,-0.000379,5
12429,838.934631,4.474957,-0.00052,5
12430,1070.57843,3.922893,-0.000569,15
12431,1147.503845,3.071579,-0.000327,5
12432,627.58197,6.240362,-0.00159,5
12433,991.107849,3.857322,-0.00061,5
12434,588.3412169999999,6.985869,-0.001783,5
12435,1166.90625,2.928449,-0.00022,5
12436,855.772278,4.577619,-0.00071,15
12437,365.04400599999997,11.252189,-0.001509,15
12438,732.758606,5.354003,-0.001418,10
12439,302.025976,11.242054,0.000502,5
12440,451.98913600000003,10.934393,-0.000785,10
12441,697.5834050000001,5.410802,-0.001534,5
12442,407.87883,10.743969,-0.000951,5
12443,709.222595,5.602108,-0.001947,10
12444,1094.490417,3.798645,-0.00056,10
12445,899.049561,4.503695,-0.000118,10
12446,600.015717,6.704495,-0.001701,5
12447,1024.940552,3.740105,-0.000272,5
12448,520.630753,9.491001,-0.002599,5
12449,441.165741,10.637289,-0.00011,5
12450,483.13829,10.6503,-0.002218,15
12451,1048.732239,3.975254,-0.000832,15
12452,768.6367190000001,4.782198,-0.000241,5
12453,866.743835,4.607105,-0.000948,10
12454,707.05426,5.572769,-0.002862,15
12455,1115.336304,3.27625,-0.000441,5
12456,610.803528,6.963838,-0.006944,15
12457,887.584534,4.487411,-0.00022,15
12458,940.758972,4.016341,-4.1e-05,5
12459,948.903442,3.988927,-0.000331,5
12460,887.81543,4.54397,-0.000427,10
12461,304.882977,11.554198,0.000635,10
12462,534.633118,9.033381,-0.002182,5
12463,624.433563,6.285206,-0.00064,5
12464,811.452026,4.807791,-0.000666,10
12465,662.89798,6.131003,-0.002368,10
12466,547.8594969999999,8.599468,-0.002871,5
12467,352.964767,11.415366,-0.001247,10
12468,1154.0775760000001,3.679797,-0.00092,15
12469,658.06366,5.849719,-0.00055,5
12470,373.796112,11.247377,-0.001326,10
12471,1132.803467,3.170354,9.1e-05,5
12472,663.00647,6.093035,-0.003121,15
12473,805.399414,4.831643,-0.000476,10
12474,616.0196530000001,6.839809,-0.005714,15
12475,306.894905,11.243721,0.000266,5
12476,815.797119,4.790485,-0.000707,10
12477,750.0633849999999,4.895188,-0.00053,5
