,Temp,TGA,DrTGA,vel_cal
4595,1165.351868,2.964371,-0.000405,5
4596,1123.560913,3.136765,-0.000483,5
4597,678.899994,5.749335,-0.004933,15
4598,1011.791565,3.716039,-0.000191,15
4599,606.556793,8.108294,-0.008466,15
4600,824.627197,4.176902,-0.000333,5
4601,424.158752,10.883768,4.8e-05,5
4602,821.641174,4.358306,-0.000286,10
4603,536.886658,9.644113,-0.002884,5
4604,319.357655,11.281847,-0.000253,5
4605,1049.405029,3.383232,-0.000114,5
4606,444.51757799999996,10.812672,0.000107,5
4607,881.365356,3.943087,-0.000154,5
4608,1085.0791020000001,3.56979,-0.000442,15
4609,308.827782,11.560664,-0.000198,10
4610,445.923584,11.098707,-0.000774,10
4611,576.881744,8.993013,-0.005382,10
4612,706.044678,5.282072,-0.003501,15
4613,1066.014343,3.639528,-0.000307,10
4614,917.974609,3.79303,-0.000403,5
4615,762.1315,4.676221,-0.001457,10
4616,444.01210000000003,10.812469,-0.000382,5
4617,918.137207,3.792163,-0.000343,5
4618,352.826981,11.319796,-0.001047,15
4619,899.679993,4.047819,-0.00069,15
4620,527.889664,9.912392,-0.002415,5
4621,422.868042,10.8878,-0.000484,5
4622,657.217499,5.741694,-0.001674,5
4623,479.225327,10.612765,-0.000603,5
4624,994.856262,3.540828,-0.000172,5
4625,1040.535217,3.690526,-0.000597,10
4626,636.188843,6.785871,-0.00517,10
4627,821.252319,4.189404,-0.000525,5
4628,567.615509,8.730055,-0.002275,5
4629,478.403259,10.617496,-0.000264,5
4630,607.544312,7.241054,-0.003407,5
4631,671.987457,5.904938,-0.005644,15
4632,1053.747559,3.370831,-0.000213,5
4633,471.24084500000004,11.002329,-0.000665,10
4634,553.503021,9.740979,-0.006931,15
4635,1089.340027,3.560675,9e-06,15
4636,420.621841,11.04987,-0.000906,15
4637,659.9201969999999,5.685905,-0.001885,5
4638,596.2973939999999,7.704457,-0.003494,5
4639,757.775909,4.71004,-0.001618,10
4640,1056.1504519999999,3.625868,-0.000444,15
4641,910.658875,4.038089,-0.000867,10
4642,1135.291687,3.092084,0.000169,5
4643,817.204102,4.20667,-0.000174,5
4644,1057.393494,3.656033,7.2e-05,10
4645,580.1968079999999,8.966612,-0.007414,15
